"","HR","upper","lower","p value","model"
"LRPAP1",0.871180934995548,0.944226931573665,0.803785823218184,0.000788109891311832,1
"LRRC25",0.837707467847751,0.928497883384254,0.755794724194835,0.000743434606500042,1
"LRRC42",0.895717674067277,0.969385796733378,0.827647933712363,0.00631431862844812,1
"LRRC46",0.856424965351726,0.960614037955316,0.763536334362649,0.00814595597487527,1
"LRRC8D",0.886911335232134,0.966893471215207,0.813545380107511,0.00644589268548364,1
"LRRK1",0.882654132263017,0.965751861033449,0.806706513997591,0.00654611636652944,1
"LSM10",0.877427721459562,0.966569127136257,0.796507342073619,0.00807953165110876,1
"LSM12",0.889351283651651,0.964903349346745,0.81971495514895,0.00482062043153433,1
"LY6E",0.866444974833325,0.940708944425456,0.798043750793113,0.00063382340294697,1
"LYN",0.849459017990025,0.917098893745797,0.786807865722481,2.99546766751241e-05,1
"LYPD1",0.887189673710112,0.969687549322432,0.811710450121633,0.00832784519949176,1
"LYRM2",0.878199984034326,0.95493060557292,0.807634824412377,0.00237344603112776,1
"LYZ",0.858499426030121,0.931371890591139,0.791328653934639,0.000242251499176918,1
"MAD2L1BP",0.875174772363942,0.949966003138681,0.806271887258752,0.00143859743202582,1
"MAGOH",0.872244167011863,0.943794398521213,0.806118247870825,0.000678657647912319,1
"MAPK1",0.892922179429702,0.970774578895694,0.821313243929884,0.00792155368361335,1
"MCM6",0.880802087363021,0.954938952335729,0.812420851830852,0.00208254094364113,1
"MCUR1",0.81798180615341,0.898479884163226,0.74469584349252,2.72536919046416e-05,1
"MEA1",0.882381386030906,0.958112072140628,0.812636572540277,0.00289648837492799,1
"MEI1",0.822000145911899,0.925853928524249,0.729795725937222,0.00124192618520387,1
"MELK",0.86570808561201,0.939152655804418,0.798007102319356,0.000518593761887852,1
"MFSD7",0.885464420804534,0.968198977091141,0.809799699299726,0.00760608188259783,1
"MIF",0.871909389442534,0.945764063264577,0.803822023828981,0.000952680923933486,1
"MKNK1",0.894220634356253,0.968668747853089,0.82549431338707,0.00614132614716294,1
"MMP12",0.875497655973656,0.951099919025247,0.80590496359302,0.00165317409583804,1
"MMP9",0.880399152629759,0.95497577226416,0.811646421263129,0.00213737184822242,1
"MNDA",0.895895740623645,0.96864580885879,0.828609560612467,0.00578595801024319,1
"MOV10",0.839002743516336,0.934861383484677,0.752973238667822,0.00147140788354935,1
"MREG",0.865551164137846,0.95517578076997,0.78433606967763,0.00407597069268853,1
"MRPL14",0.860510633932758,0.95600181422015,0.774557683988703,0.00514204886890188,1
"MRPL40",0.880698964340504,0.961984750666572,0.806281664291446,0.00479637225931855,1
